CustomMotor; HingeJointMotor; Time
CustomMotor; HingeJointMotor; Time
0,06548808;0,06548808;0,2
0,06548808;0,06548808;0,2
0,3684949;0,3684949;0,4
0,3684949;0,3684949;0,4
0,4407265;0,4407265;0,6
0,4407265;0,4407265;0,6
0,154336;0,154336;0,8
0,154336;0,154336;0,8
0,1272806;0,1272806;1
0,1272806;0,1272806;1
0,1968558;0,1968558;1,2
0,1968558;0,1968558;1,2
0,1113568;0,1113568;1,4
0,1113568;0,1113568;1,4
0,01411334;0,01411334;1,6
0,01411334;0,01411334;1,6
0,07675906;0,07675906;1,8
0,07675906;0,07675906;1,8
0,05614932;0,05614932;2
0,05614932;0,05614932;2
0,002365569;0,002365569;2,2
0,002365569;0,002365569;2,2
0,03074691;0,03074691;2,4
0,03074691;0,03074691;2,4
0,02716538;0,02716538;2,6
0,02716538;0,02716538;2,6
0,009125307;0,009125307;2,8
0,009125307;0,009125307;2,8
0,008643647;0,008643647;3
0,008643647;0,008643647;3
0,01256871;0,01256871;3,200001
0,01256871;0,01256871;3,200001
0,005505744;0,005505744;3,400001
0,005505744;0,005505744;3,400001
0,002704315;0,002704315;3,600001
0,002704315;0,002704315;3,600001
0,005477005;0,005477005;3,800001
0,005477005;0,005477005;3,800001
0,003019171;0,003019171;4
0,003019171;0,003019171;4
0,00066041;0,00066041;4,2
0,00066041;0,00066041;4,2
0,002311742;0,002311742;4,4
0,002311742;0,002311742;4,4
3,567725;3,567725;4,6
3,567725;3,567725;4,6
7,394403;7,394403;4,8
7,394403;7,394403;4,8
7,393965;7,393965;5
7,393965;7,393965;5
7,394131;7,394131;5,199999
7,394131;7,394131;5,199999
3,335628;3,335628;5,399999
3,335628;3,335628;5,399999
0,6824281;0,6824281;5,599999
0,6824281;0,6824281;5,599999
4,628654;4,628654;5,799999
4,628654;4,628654;5,799999
7,394554;7,394554;5,999999
7,394554;7,394554;5,999999
7,393943;7,393943;6,199998
7,393943;7,393943;6,199998
7,394086;7,394086;6,399998
7,394086;7,394086;6,399998
7,394245;7,394245;6,599998
7,394245;7,394245;6,599998
7,394093;7,394093;6,799998
7,394093;7,394093;6,799998
7,394117;7,394117;6,999998
7,394117;7,394117;6,999998
7,394162;7,394162;7,199997
7,394162;7,394162;7,199997
7,394129;7,394129;7,399997
7,394129;7,394129;7,399997
7,394131;7,394131;7,599997
7,394131;7,394131;7,599997
7,394142;7,394142;7,799997
7,394142;7,394142;7,799997
7,394134;7,394134;7,999997
7,394134;7,394134;7,999997
7,394135;7,394135;8,199997
7,394135;7,394135;8,199997
7,39414;7,39414;8,399997
7,39414;7,39414;8,399997
7,394135;7,394135;8,599997
7,394135;7,394135;8,599997
7,394135;7,394135;8,799996
7,394135;7,394135;8,799996
7,394137;7,394137;8,999996
7,394137;7,394137;8,999996
7,394137;7,394137;9,199996
7,394137;7,394137;9,199996
7,394136;7,394136;9,399996
7,394136;7,394136;9,399996
7,394136;7,394136;9,599996
7,394136;7,394136;9,599996
7,394135;7,394135;9,799995
7,394135;7,394135;9,799995
7,394136;7,394136;9,999995
7,394136;7,394136;9,999995
7,394136;7,394136;10,2
7,394136;7,394136;10,2
7,394136;7,394136;10,39999
7,394136;7,394136;10,39999
7,394136;7,394136;10,59999
7,394136;7,394136;10,59999
7,394137;7,394137;10,79999
7,394137;7,394137;10,79999
7,394135;7,394135;10,99999
7,394135;7,394135;10,99999
7,394136;7,394136;11,19999
7,394136;7,394136;11,19999
7,394136;7,394136;11,39999
7,394136;7,394136;11,39999
7,394136;7,394136;11,59999
7,394136;7,394136;11,59999
7,394137;7,394137;11,79999
7,394137;7,394137;11,79999
7,394136;7,394136;11,99999
7,394136;7,394136;11,99999
7,394136;7,394136;12,19999
7,394136;7,394136;12,19999
7,394137;7,394137;12,39999
7,394137;7,394137;12,39999
7,394137;7,394137;12,59999
7,394137;7,394137;12,59999
7,394136;7,394136;12,79999
7,394136;7,394136;12,79999
7,394136;7,394136;12,99999
7,394136;7,394136;12,99999
7,394137;7,394137;13,19999
7,394137;7,394137;13,19999
7,394136;7,394136;13,39999
7,394136;7,394136;13,39999
7,394137;7,394137;13,59999
7,394137;7,394137;13,59999
7,394137;7,394137;13,79999
7,394137;7,394137;13,79999
7,394137;7,394137;13,99999
7,394137;7,394137;13,99999
7,394136;7,394136;14,19999
7,394136;7,394136;14,19999
7,394136;7,394136;14,39999
7,394136;7,394136;14,39999
7,394137;7,394137;14,59999
7,394137;7,394137;14,59999
7,394136;7,394136;14,79999
7,394136;7,394136;14,79999
7,394136;7,394136;14,99999
7,394136;7,394136;14,99999
7,394137;7,394137;15,19999
7,394137;7,394137;15,19999
7,394136;7,394136;15,39999
7,394136;7,394136;15,39999
7,394136;7,394136;15,59999
7,394136;7,394136;15,59999
7,394137;7,394137;15,79999
7,394137;7,394137;15,79999
7,394136;7,394136;15,99999
7,394136;7,394136;15,99999
7,394136;7,394136;16,19999
7,394136;7,394136;16,19999
7,394137;7,394137;16,39999
7,394137;7,394137;16,39999
7,394137;7,394137;16,59999
7,394137;7,394137;16,59999
7,394137;7,394137;16,79999
7,394137;7,394137;16,79999
7,394136;7,394136;16,99999
7,394136;7,394136;16,99999
7,394136;7,394136;17,19999
7,394136;7,394136;17,19999
7,394137;7,394137;17,39999
7,394137;7,394137;17,39999
7,394136;7,394136;17,59999
7,394136;7,394136;17,59999
7,394137;7,394137;17,8
7,394137;7,394137;17,8
7,394136;7,394136;18
7,394136;7,394136;18
7,394136;7,394136;18,2
7,394136;7,394136;18,2
7,394136;7,394136;18,4
7,394136;7,394136;18,4
7,394136;7,394136;18,6
7,394136;7,394136;18,6
7,394136;7,394136;18,8
7,394136;7,394136;18,8
7,394137;7,394137;19
7,394137;7,394137;19
7,394137;7,394137;19,2
7,394137;7,394137;19,2
7,394136;7,394136;19,4
7,394136;7,394136;19,4
7,394136;7,394136;19,6
7,394136;7,394136;19,6
7,394137;7,394137;19,8
7,394137;7,394137;19,8
7,394136;7,394136;20
7,394136;7,394136;20
7,394137;7,394137;20,2
7,394137;7,394137;20,2
7,394137;7,394137;20,40001
7,394137;7,394137;20,40001
7,394136;7,394136;20,60001
7,394136;7,394136;20,60001
7,394136;7,394136;20,80001
7,394136;7,394136;20,80001
7,394136;7,394136;21,00001
7,394136;7,394136;21,00001
7,394137;7,394137;21,20001
7,394137;7,394137;21,20001
7,394137;7,394137;21,40001
7,394137;7,394137;21,40001
7,394137;7,394137;21,60001
7,394137;7,394137;21,60001
7,394137;7,394137;21,80001
7,394137;7,394137;21,80001
7,394137;7,394137;22,00001
7,394137;7,394137;22,00001
7,394137;7,394137;22,20001
7,394137;7,394137;22,20001
7,394136;7,394136;22,40001
7,394136;7,394136;22,40001
7,394136;7,394136;22,60001
7,394136;7,394136;22,60001
7,394137;7,394137;22,80001
7,394137;7,394137;22,80001
7,394136;7,394136;23,00002
7,394136;7,394136;23,00002
7,394137;7,394137;23,20002
7,394137;7,394137;23,20002
7,394136;7,394136;23,40002
7,394136;7,394136;23,40002
7,394136;7,394136;23,60002
7,394136;7,394136;23,60002
7,394136;7,394136;23,80002
7,394136;7,394136;23,80002
7,394136;7,394136;24,00002
7,394136;7,394136;24,00002
7,394137;7,394137;24,20002
7,394137;7,394137;24,20002
7,394137;7,394137;24,40002
7,394137;7,394137;24,40002
7,394136;7,394136;24,60002
7,394136;7,394136;24,60002
7,394137;7,394137;24,80002
7,394137;7,394137;24,80002
7,394137;7,394137;25,00002
7,394137;7,394137;25,00002
7,394137;7,394137;25,20002
7,394137;7,394137;25,20002
7,394137;7,394137;25,40002
7,394137;7,394137;25,40002
7,394136;7,394136;25,60003
7,394136;7,394136;25,60003
7,394137;7,394137;25,80003
7,394137;7,394137;25,80003
7,394136;7,394136;26,00003
7,394136;7,394136;26,00003
7,394137;7,394137;26,20003
7,394137;7,394137;26,20003
7,394137;7,394137;26,40003
7,394137;7,394137;26,40003
7,394137;7,394137;26,60003
7,394137;7,394137;26,60003
7,394137;7,394137;26,80003
7,394137;7,394137;26,80003
7,394137;7,394137;27,00003
7,394137;7,394137;27,00003
7,394137;7,394137;27,20003
7,394137;7,394137;27,20003
7,394137;7,394137;27,40003
7,394137;7,394137;27,40003
7,394137;7,394137;27,60003
7,394137;7,394137;27,60003
7,394136;7,394136;27,80003
7,394136;7,394136;27,80003
7,394136;7,394136;28,00003
7,394136;7,394136;28,00003
7,394136;7,394136;28,20004
7,394136;7,394136;28,20004
7,394136;7,394136;28,40004
7,394136;7,394136;28,40004
7,394137;7,394137;28,60004
7,394137;7,394137;28,60004
7,394137;7,394137;28,80004
7,394137;7,394137;28,80004
7,394137;7,394137;29,00004
7,394137;7,394137;29,00004
7,394136;7,394136;29,20004
7,394136;7,394136;29,20004
7,394136;7,394136;29,40004
7,394136;7,394136;29,40004
7,394136;7,394136;29,60004
7,394136;7,394136;29,60004
7,394137;7,394137;29,80004
7,394137;7,394137;29,80004
7,394136;7,394136;30,00004
7,394136;7,394136;30,00004
7,394136;7,394136;30,20004
7,394136;7,394136;30,20004
7,394136;7,394136;30,40004
7,394136;7,394136;30,40004
7,394137;7,394137;30,60004
7,394137;7,394137;30,60004
7,394136;7,394136;30,80005
7,394136;7,394136;30,80005
7,394137;7,394137;31,00005
7,394137;7,394137;31,00005
7,394136;7,394136;31,20005
7,394136;7,394136;31,20005
7,394136;7,394136;31,40005
7,394136;7,394136;31,40005
7,394137;7,394137;31,60005
7,394137;7,394137;31,60005
7,394136;7,394136;31,80005
7,394136;7,394136;31,80005
7,394137;7,394137;32,00005
7,394137;7,394137;32,00005
7,394136;7,394136;32,20005
7,394136;7,394136;32,20005
7,394136;7,394136;32,40005
7,394136;7,394136;32,40005
7,394136;7,394136;32,60005
7,394136;7,394136;32,60005
7,394137;7,394137;32,80005
7,394137;7,394137;32,80005
7,394136;7,394136;33,00005
7,394136;7,394136;33,00005
7,394136;7,394136;33,20005
7,394136;7,394136;33,20005
7,394136;7,394136;33,40005
7,394136;7,394136;33,40005
7,394136;7,394136;33,60006
7,394136;7,394136;33,60006
7,394137;7,394137;33,80006
7,394137;7,394137;33,80006
7,394136;7,394136;34,00006
7,394136;7,394136;34,00006
7,394137;7,394137;34,20006
7,394137;7,394137;34,20006
7,394136;7,394136;34,40006
7,394136;7,394136;34,40006
7,394136;7,394136;34,60006
7,394136;7,394136;34,60006
7,394136;7,394136;34,80006
7,394136;7,394136;34,80006
7,394137;7,394137;35,00006
7,394137;7,394137;35,00006
7,394137;7,394137;35,20006
7,394137;7,394137;35,20006
7,394136;7,394136;35,40006
7,394136;7,394136;35,40006
7,394136;7,394136;35,60006
7,394136;7,394136;35,60006
7,394136;7,394136;35,80006
7,394136;7,394136;35,80006
7,394136;7,394136;36,00006
7,394136;7,394136;36,00006
7,394136;7,394136;36,20007
7,394136;7,394136;36,20007
7,394136;7,394136;36,40007
7,394136;7,394136;36,40007
7,394137;7,394137;36,60007
7,394137;7,394137;36,60007
7,394136;7,394136;36,80007
7,394136;7,394136;36,80007
7,394136;7,394136;37,00007
7,394136;7,394136;37,00007
7,394136;7,394136;37,20007
7,394136;7,394136;37,20007
7,394137;7,394137;37,40007
7,394137;7,394137;37,40007
7,394137;7,394137;37,60007
7,394137;7,394137;37,60007
7,394136;7,394136;37,80007
7,394136;7,394136;37,80007
7,394136;7,394136;38,00007
7,394136;7,394136;38,00007
7,394137;7,394137;38,20007
7,394137;7,394137;38,20007
7,394136;7,394136;38,40007
7,394136;7,394136;38,40007
7,394137;7,394137;38,60007
7,394137;7,394137;38,60007
7,394136;7,394136;38,80008
7,394136;7,394136;38,80008
7,394136;7,394136;39,00008
7,394136;7,394136;39,00008
7,394136;7,394136;39,20008
7,394136;7,394136;39,20008
7,394137;7,394137;39,40008
7,394137;7,394137;39,40008
7,394137;7,394137;39,60008
7,394137;7,394137;39,60008
7,394136;7,394136;39,80008
7,394136;7,394136;39,80008
7,394136;7,394136;40,00008
7,394136;7,394136;40,00008
7,394136;7,394136;40,20008
7,394136;7,394136;40,20008
7,394137;7,394137;40,40008
7,394137;7,394137;40,40008
7,394136;7,394136;40,60008
7,394136;7,394136;40,60008
7,394137;7,394137;40,80008
7,394137;7,394137;40,80008
7,394136;7,394136;41,00008
7,394136;7,394136;41,00008
7,394136;7,394136;41,20008
7,394136;7,394136;41,20008
7,394136;7,394136;41,40009
7,394136;7,394136;41,40009
7,394137;7,394137;41,60009
7,394137;7,394137;41,60009
7,394136;7,394136;41,80009
7,394136;7,394136;41,80009
7,394137;7,394137;42,00009
7,394137;7,394137;42,00009
7,394137;7,394137;42,20009
7,394137;7,394137;42,20009
7,394137;7,394137;42,40009
7,394137;7,394137;42,40009
7,394137;7,394137;42,60009
7,394137;7,394137;42,60009
7,394137;7,394137;42,80009
7,394137;7,394137;42,80009
7,394136;7,394136;43,00009
7,394136;7,394136;43,00009
7,394137;7,394137;43,20009
7,394137;7,394137;43,20009
7,394136;7,394136;43,40009
7,394136;7,394136;43,40009
7,394137;7,394137;43,60009
7,394137;7,394137;43,60009
7,394136;7,394136;43,80009
7,394136;7,394136;43,80009
7,394137;7,394137;44,0001
7,394137;7,394137;44,0001
7,394137;7,394137;44,2001
7,394137;7,394137;44,2001
7,394136;7,394136;44,4001
7,394136;7,394136;44,4001
7,394136;7,394136;44,6001
7,394136;7,394136;44,6001
7,394136;7,394136;44,8001
7,394136;7,394136;44,8001
